"区域编号","时间","指数","分数","速度"
"01NHNLB_YX","2014-08-01 0:30:00","20.16","1.00","62.84"
"01WHWWZ_HX","2014-08-01 0:30:00","12.14","0.90","71.68"
"01YABYD_HQ","2014-08-01 0:30:00","16.77","1.00","65.38"
"01ZHWXX_JY","2014-08-01 0:30:00","18.66","1.00","65.78"
"01HMDXZ_CX","2014-08-01 0:30:00","18.26","1.00","62.92"
"01NBXGH_LB","2014-08-01 0:30:00","21.87","1.00","62.19"
"01WHNHJ_TJ","2014-08-01 0:30:00","21.36","0.87","60.96"
"01WHNJY_HY","2014-08-01 0:30:00","13.78","0.86","69.17"
"01WHWHY_JY","2014-08-01 0:30:00","10.76","0.96","71.19"
"01WHWWZ_TJ","2014-08-01 0:30:00","34.28","1.00","52.01"
"01WZBWZ_XY","2014-08-01 0:30:00","8.99","0.90","74.61"
"01ZHWJG_GH","2014-08-01 0:30:00","16.88","0.99","65.26"
"01NBXYC_GH","2014-08-01 0:30:00","23.98","0.92","60.65"
"01NHWGH_YX","2014-08-01 0:30:00","23.81","1.00","60.53"
"01WHNHX_JY","2014-08-01 0:30:00","7.08","0.60","74.87"
"01YXXWH_DB","2014-08-01 0:30:00","16.84","1.00","63.01"
"01ZHNJY_XX","2014-08-01 0:30:00","17.09","0.99","66.88"
"01ZHWJY_SJ","2014-08-01 0:30:00","8.63","0.95","74.47"
"total","2014-08-01 0:30:00","18.56","0.95","64.57"
"01HMXCX_XZ","2014-08-01 0:30:00","14.24","1.00","66.45"
"01NBDJY_LB","2014-08-01 0:30:00","17.35","1.00","65.38"
"01NBXLB_JY","2014-08-01 0:30:00","16.73","1.00","66.12"
"01NHWYP_GH","2014-08-01 0:30:00","21.33","1.00","60.48"
"01WHNTJ_WZ","2014-08-01 0:30:00","43.58","1.00","44.86"
"01WHWTJ_HJ","2014-08-01 0:30:00","24.86","0.80","59.72"
"01WZNXY_WZ","2014-08-01 0:30:00","16.01","0.77","64.21"
"01ZHNGH_JG","2014-08-01 0:30:00","15.30","0.99","67.07"
"01ZHNSJ_JY","2014-08-01 0:30:00","6.29","1.00","77.45"
"01WHNHY_HJ","2014-08-01 0:30:00","16.15","1.00","66.15"
"01WHWHJ_HY","2014-08-01 0:30:00","28.37","0.89","56.57"
"01WHWJY_HX","2014-08-01 0:30:00","11.60","0.63","68.23"
"01YANHQ_YD","2014-08-01 0:30:00","18.00","1.00","64.85"
"01ZHWGH_XX","2014-08-01 0:30:00","12.79","1.00","69.04"
"01NBDLB_GH","2014-08-01 0:30:00","28.69","1.00","57.42"
"01NHWYX_LB","2014-08-01 0:30:00","21.41","1.00","62.51"
"01NBDGH_YC","2014-08-01 0:40:00","24.47","1.00","60.74"
"01NHNYX_GH","2014-08-01 0:40:00","31.63","1.00","55.41"
"01NHWLB_YP","2014-08-01 0:40:00","13.23","1.00","68.49"
"01WHNHX_WZ","2014-08-01 0:40:00","17.63","0.78","65.77"
"01NHNGH_YP","2014-08-01 0:40:00","30.91","1.00","53.13"
"01NHNYP_LB","2014-08-01 0:40:00","13.54","1.00","68.95"
"01YXDDB_WH","2014-08-01 0:40:00","17.44","1.00","62.42"
"01ZHNXX_GH","2014-08-01 0:40:00","14.21","1.00","68.12"
"01NHNLB_YX","2014-08-01 0:40:00","19.54","1.00","63.16"
"01WHWWZ_HX","2014-08-01 0:40:00","14.40","0.87","69.83"
"01YABYD_HQ","2014-08-01 0:40:00","16.12","1.00","65.59"
"01ZHWXX_JY","2014-08-01 0:40:00","17.76","1.00","66.31"
"01HMDXZ_CX","2014-08-01 0:40:00","17.37","1.00","63.47"
"01NBXGH_LB","2014-08-01 0:40:00","23.20","1.00","61.76"
"01WHNHJ_TJ","2014-08-01 0:40:00","21.27","0.87","60.94"
"01WHNJY_HY","2014-08-01 0:40:00","14.24","0.89","68.77"
"01WHWHY_JY","2014-08-01 0:40:00","11.01","0.94","71.14"
"01WHWWZ_TJ","2014-08-01 0:40:00","33.83","1.00","52.47"
"01WZBWZ_XY","2014-08-01 0:40:00","9.43","0.84","75.39"
"01ZHWJG_GH","2014-08-01 0:40:00","15.51","0.94","66.29"
"01NBXYC_GH","2014-08-01 0:40:00","27.04","0.88","57.41"
"01NHWGH_YX","2014-08-01 0:40:00","33.30","1.00","52.94"
"01WHNHX_JY","2014-08-01 0:40:00","7.38","0.63","73.50"
"01YXXWH_DB","2014-08-01 0:40:00","16.14","1.00","63.75"
"01ZHNJY_XX","2014-08-01 0:40:00","16.93","0.99","67.05"
"01ZHWJY_SJ","2014-08-01 0:40:00","8.86","0.95","74.23"
"total","2014-08-01 0:40:00","19.19","0.94","63.98"
"01HMXCX_XZ","2014-08-01 0:40:00","14.48","1.00","66.32"
"01NBDJY_LB","2014-08-01 0:40:00","16.26","1.00","66.49"
"01NBXLB_JY","2014-08-01 0:40:00","15.74","1.00","67.02"
"01NHWYP_GH","2014-08-01 0:40:00","25.05","1.00","56.70"
"01WHNTJ_WZ","2014-08-01 0:40:00","42.00","1.00","45.98"
"01WHWTJ_HJ","2014-08-01 0:40:00","24.78","0.81","59.65"
"01WZNXY_WZ","2014-08-01 0:40:00","16.12","0.69","63.63"
"01ZHNGH_JG","2014-08-01 0:40:00","15.99","0.93","66.47"
"01ZHNSJ_JY","2014-08-01 0:40:00","6.37","1.00","77.37"
"01WHNHY_HJ","2014-08-01 0:40:00","15.08","1.00","66.80"
"01WHWHJ_HY","2014-08-01 0:40:00","30.11","0.80","54.97"
"01WHWJY_HX","2014-08-01 0:40:00","12.18","0.60","67.20"
"01YANHQ_YD","2014-08-01 0:40:00","17.35","1.00","65.45"
"01ZHWGH_XX","2014-08-01 0:40:00","12.57","1.00","69.39"
"01NBDLB_GH","2014-08-01 0:40:00","33.85","1.00","54.19"
"01NHWYX_LB","2014-08-01 0:40:00","21.45","1.00","62.41"
"01NHWGH_YX","2014-08-23 16:40:00","28.57","1.00","54.63"
"01WHNHX_JY","2014-08-23 16:40:00","36.47","0.27","49.24"
"01YXXWH_DB","2014-08-23 16:40:00","17.76","0.90","61.36"
"01ZHNJY_XX","2014-08-23 16:40:00","21.81","0.99","61.82"
"01ZHWJY_SJ","2014-08-23 16:40:00","5.62","0.95","76.17"
"total","2014-08-23 16:40:00","31.37","0.91","54.08"
"01HMXCX_XZ","2014-08-23 16:40:00","25.96","0.93","57.79"
"01NBDJY_LB","2014-08-23 16:40:00","33.52","0.90","53.12"
"01NBXLB_JY","2014-08-23 16:40:00","27.93","0.97","58.02"
"01NHWYP_GH","2014-08-23 16:40:00","32.64","1.00","49.94"
"01WHNTJ_WZ","2014-08-23 16:40:00","34.63","1.00","51.68"
"01WHWTJ_HJ","2014-08-23 16:40:00","26.24","0.69","59.24"
"01WZNXY_WZ","2014-08-23 16:40:00","7.04","0.73","74.92"
"01ZHNGH_JG","2014-08-23 16:40:00","30.39","0.92","55.70"
"01ZHNSJ_JY","2014-08-23 16:40:00","7.25","0.99","74.58"
"01WHNHY_HJ","2014-08-23 16:40:00","39.67","0.93","48.23"
"01WHWHJ_HY","2014-08-23 16:40:00","32.68","0.85","53.58"
"01WHWJY_HX","2014-08-23 16:40:00","10.14","0.47","68.76"
"01YANHQ_YD","2014-08-23 16:40:00","49.54","1.00","42.50"
"01ZHWGH_XX","2014-08-23 16:40:00","20.09","0.99","64.54"
"01NBDLB_GH","2014-08-23 16:40:00","65.27","1.00","26.66"
"01NHWYX_LB","2014-08-23 16:40:00","65.01","1.00","27.78"
"01NBDGH_YC","2014-08-23 22:50:00","21.43","0.97","60.88"
"01NHNYX_GH","2014-08-23 22:50:00","34.10","1.00","50.17"
"01NHWLB_YP","2014-08-23 22:50:00","14.54","1.00","67.99"
"01WHNHX_WZ","2014-08-23 22:50:00","20.50","0.48","61.47"
"01NHNGH_YP","2014-08-23 22:50:00","25.06","1.00","57.91"
"01NHNYP_LB","2014-08-23 22:50:00","14.50","1.00","67.56"
"01YXDDB_WH","2014-08-23 22:50:00","13.67","0.99","64.94"
"01ZHNXX_GH","2014-08-23 22:50:00","10.79","1.00","70.40"
"01NHNLB_YX","2014-08-23 22:50:00","25.70","1.00","58.74"
"01WHWWZ_HX","2014-08-23 22:50:00","28.71","0.48","56.17"
"01YABYD_HQ","2014-08-23 22:50:00","27.66","1.00","54.95"
"01ZHWXX_JY","2014-08-23 22:50:00","16.09","1.00","67.39"
"01HMDXZ_CX","2014-08-23 22:50:00","17.50","0.99","61.57"
"01NBXGH_LB","2014-08-23 22:50:00","32.78","1.00","53.15"
"01WHNHJ_TJ","2014-08-23 22:50:00","23.52","0.54","59.20"
"01WHNJY_HY","2014-08-23 22:50:00","15.61","0.73","67.55"
"01WHWHY_JY","2014-08-23 22:50:00","13.59","0.94","69.51"
"01WHWWZ_TJ","2014-08-23 22:50:00","30.59","1.00","55.54"
"01WZBWZ_XY","2014-08-23 22:50:00","10.28","0.87","71.11"
"01ZHWJG_GH","2014-08-23 22:50:00","19.59","0.93","62.45"
"01NBXYC_GH","2014-08-23 22:50:00","18.86","0.99","64.60"
"01NHWGH_YX","2014-08-23 22:50:00","20.64","1.00","61.99"
"01WHNHX_JY","2014-08-23 22:50:00","13.09","0.36","70.49"
"01YXXWH_DB","2014-08-23 22:50:00","14.35","0.93","64.08"
"01ZHNJY_XX","2014-08-23 22:50:00","14.44","1.00","68.91"
"01ZHWJY_SJ","2014-08-23 22:50:00","7.44","0.95","75.31"
"total","2014-08-23 22:50:00","20.43","0.88","62.79"
"01HMXCX_XZ","2014-08-23 22:50:00","17.11","1.00","63.50"
"01NBDJY_LB","2014-08-23 22:50:00","18.80","0.92","65.77"
"01NBXLB_JY","2014-08-23 22:50:00","22.85","0.92","60.43"
"01NHWYP_GH","2014-08-23 22:50:00","19.55","1.00","62.53"
"01WHNTJ_WZ","2014-08-23 22:50:00","32.81","1.00","53.47"
"01WHWTJ_HJ","2014-08-23 22:50:00","22.39","0.61","62.81"
"01WZNXY_WZ","2014-08-23 22:50:00","7.70","0.75","75.18"
"01ZHNGH_JG","2014-08-23 22:50:00","12.85","0.92","68.97"
"01ZHNSJ_JY","2014-08-23 22:50:00","6.66","0.95","76.42"
"01WHNHY_HJ","2014-08-23 22:50:00","19.20","0.76","64.02"
"01WHWHJ_HY","2014-08-23 22:50:00","40.54","0.38","47.16"
"01WHWJY_HX","2014-08-23 22:50:00","7.24","0.56","74.17"
"01YANHQ_YD","2014-08-23 22:50:00","21.70","1.00","61.78"
"01ZHWGH_XX","2014-08-23 22:50:00","13.44","0.96","68.37"
"01NBDLB_GH","2014-08-23 22:50:00","53.79","1.00","38.20"
"01NHWYX_LB","2014-08-23 22:50:00","36.03","1.00","50.49"
"01NBDGH_YC","2014-08-01 1:10:00","26.25","1.00","59.14"
"01NHNYX_GH","2014-08-01 1:10:00","35.03","1.00","53.16"
"01NHWLB_YP","2014-08-01 1:10:00","12.82","1.00","69.36"
"01WHNHX_WZ","2014-08-01 1:10:00","15.37","0.63","65.20"
"01NHNGH_YP","2014-08-01 1:10:00","39.71","1.00","43.30"
"01NHNYP_LB","2014-08-01 1:10:00","12.82","1.00","69.25"
"01YXDDB_WH","2014-08-01 1:10:00","17.63","1.00","60.92"
"01ZHNXX_GH","2014-08-01 1:10:00","11.87","1.00","69.62"
"01NHNLB_YX","2014-08-01 1:10:00","17.17","1.00","65.37"
"01WHWWZ_HX","2014-08-01 1:10:00","14.90","0.54","67.12"
"01YABYD_HQ","2014-08-01 1:10:00","13.39","1.00","67.93"
"01ZHWXX_JY","2014-08-01 1:10:00","17.33","1.00","66.62"
"01HMDXZ_CX","2014-08-01 1:10:00","18.20","1.00","62.52"
"01NBXGH_LB","2014-08-01 1:10:00","25.01","1.00","60.93"
"01WHNHJ_TJ","2014-08-01 1:10:00","25.32","0.64","58.67"
"01WHNJY_HY","2014-08-01 1:10:00","11.54","0.88","70.82"
"01WHWHY_JY","2014-08-01 1:10:00","11.71","0.94","71.56"
"01WHWWZ_TJ","2014-08-01 1:10:00","35.13","1.00","52.09"
"01WZBWZ_XY","2014-08-01 1:10:00","10.41","0.68","71.52"
"01ZHWJG_GH","2014-08-01 1:10:00","19.93","0.97","63.06"
"01NBXYC_GH","2014-08-01 1:10:00","31.07","0.95","54.93"
"01NHWGH_YX","2014-08-01 1:10:00","45.76","1.00","42.50"
"01WHNHX_JY","2014-08-01 1:10:00","4.61","0.55","76.45"
"01YXXWH_DB","2014-08-01 1:10:00","15.12","1.00","64.85"
"01ZHNJY_XX","2014-08-01 1:10:00","18.49","0.90","66.10"
"01ZHWJY_SJ","2014-08-01 1:10:00","9.92","0.95","72.74"
"total","2014-08-01 1:10:00","19.72","0.92","63.44"
"01HMXCX_XZ","2014-08-01 1:10:00","11.34","1.00","68.83"
"01NBDJY_LB","2014-08-01 1:10:00","13.60","1.00","67.68"
"01NBXLB_JY","2014-08-01 1:10:00","15.05","1.00","67.31"
"01NHWYP_GH","2014-08-01 1:10:00","29.53","1.00","52.37"
"01WHNTJ_WZ","2014-08-01 1:10:00","36.50","1.00","50.14"
"01WHWTJ_HJ","2014-08-01 1:10:00","24.17","0.78","60.53"
"01WZNXY_WZ","2014-08-01 1:10:00","19.94","0.52","62.79"
"01ZHNGH_JG","2014-08-01 1:10:00","16.78","0.92","65.51"
"01ZHNSJ_JY","2014-08-01 1:10:00","6.70","0.97","77.94"
"01WHNHY_HJ","2014-08-01 1:10:00","11.53","1.00","69.44"
"01WHWHJ_HY","2014-08-01 1:10:00","31.63","0.88","54.10"
"01WHWJY_HX","2014-08-01 1:10:00","9.54","0.72","70.38"
"01YANHQ_YD","2014-08-01 1:10:00","16.31","1.00","66.49"
"01ZHWGH_XX","2014-08-01 1:10:00","10.98","1.00","70.18"
"01NBDLB_GH","2014-08-01 1:10:00","38.82","1.00","51.05"
"01NHWYX_LB","2014-08-01 1:10:00","19.29","1.00","64.14"
"01NBDGH_YC","2014-08-24 4:40:00","9.20","0.95","73.10"
"01NHNYX_GH","2014-08-24 4:40:00","8.21","1.00","72.85"
"01NHWLB_YP","2014-08-24 4:40:00","12.35","0.88","70.13"
"01WHNHX_WZ","2014-08-24 4:40:00","20.25","0.63","61.82"
"01NHNGH_YP","2014-08-24 4:40:00","34.29","0.95","50.53"
"01NHNYP_LB","2014-08-24 4:40:00","13.22","0.92","68.96"
"01YXDDB_WH","2014-08-24 4:40:00","55.82","0.90","35.73"
"01ZHNXX_GH","2014-08-24 4:40:00","30.00","0.63","57.30"
"01NHNLB_YX","2014-08-24 4:40:00","24.44","0.91","61.35"
"01WHWWZ_HX","2014-08-24 4:40:00","23.34","0.24","63.39"
"01YABYD_HQ","2014-08-24 4:40:00","7.31","1.00","72.90"
"01ZHWXX_JY","2014-08-24 4:40:00","25.81","0.69","60.53"
"01HMDXZ_CX","2014-08-24 4:40:00","12.94","0.81","68.29"
"01NBXGH_LB","2014-08-24 4:40:00","8.62","1.00","72.58"
"01WHNHJ_TJ","2014-08-24 4:40:00","32.95","0.52","55.32"
"01WHNJY_HY","2014-08-24 4:40:00","12.54","0.69","70.29"
"01WHWHY_JY","2014-08-24 4:40:00","11.28","0.81","70.70"
"01WHWWZ_TJ","2014-08-24 4:40:00","31.98","0.99","54.69"
"01WZBWZ_XY","2014-08-24 4:40:00","21.88","0.19","63.11"
"01ZHWJG_GH","2014-08-24 4:40:00","35.74","0.39","51.89"
"01NBXYC_GH","2014-08-24 4:40:00","11.90","0.87","72.13"
"01NHWGH_YX","2014-08-24 4:40:00","7.24","1.00","73.24"
"01WHNHX_JY","2014-08-24 4:40:00","41.76","0.20","45.53"
"01YXXWH_DB","2014-08-24 4:40:00","47.43","0.59","38.72"
"01ZHNJY_XX","2014-08-24 4:40:00","15.31","0.74","68.17"
"01ZHWJY_SJ","2014-08-24 4:40:00","11.36","0.72","73.31"
"total","2014-08-24 4:40:00","21.53","0.74","62.60"
"01HMXCX_XZ","2014-08-24 4:40:00","26.14","0.94","57.01"
"01NBDJY_LB","2014-08-24 4:40:00","21.36","0.91","65.55"
"01NBXLB_JY","2014-08-24 4:40:00","12.95","0.96","69.96"
"01NHWYP_GH","2014-08-24 4:40:00","15.18","1.00","67.89"
"01WHNTJ_WZ","2014-08-24 4:40:00","33.93","0.99","52.36"
"01WHWTJ_HJ","2014-08-24 4:40:00","26.84","0.61","58.82"
"01WZNXY_WZ","2014-08-24 4:40:00","13.30","0.38","71.33"
"01ZHNGH_JG","2014-08-24 4:40:00","37.60","0.32","37.42"
"01ZHNSJ_JY","2014-08-24 4:40:00","11.40","0.91","74.54"
"01WHNHY_HJ","2014-08-24 4:40:00","35.29","0.39","55.83"
"01WHWHJ_HY","2014-08-24 4:40:00","18.69","0.66","63.61"
"01WHWJY_HX","2014-08-24 4:40:00","12.22","0.31","66.94"
"01YANHQ_YD","2014-08-24 4:40:00","12.53","0.99","70.23"
"01ZHWGH_XX","2014-08-24 4:40:00","29.08","0.44","57.03"
"01NBDLB_GH","2014-08-24 4:40:00","10.23","1.00","70.82"
"01NHWYX_LB","2014-08-24 4:40:00","20.28","1.00","63.47"
"01NBDGH_YC","2014-08-24 5:00:00","8.85","0.91","73.95"
"01NHNYX_GH","2014-08-24 5:00:00","6.35","1.00","74.60"
"01NHWLB_YP","2014-08-24 5:00:00","12.83","0.88","70.30"
"01WHNHX_WZ","2014-08-24 5:00:00","20.97","0.54","61.42"
"01NHNGH_YP","2014-08-24 5:00:00","34.59","0.96","49.67"
"01NHNYP_LB","2014-08-24 5:00:00","15.00","0.97","67.82"
"01YXDDB_WH","2014-08-24 5:00:00","53.19","0.80","36.66"
"01ZHNXX_GH","2014-08-24 5:00:00","30.09","0.58","56.57"
"01NHNLB_YX","2014-08-24 5:00:00","24.26","0.91","61.34"
"01WHWWZ_HX","2014-08-24 5:00:00","30.79","0.28","57.16"
"01YABYD_HQ","2014-08-24 5:00:00","5.47","1.00","74.28"
"01ZHWXX_JY","2014-08-24 5:00:00","22.56","0.66","62.29"
"01HMDXZ_CX","2014-08-24 5:00:00","14.21","0.86","65.32"
"01NBXGH_LB","2014-08-24 5:00:00","7.02","1.00","73.77"
"01WHNHJ_TJ","2014-08-24 5:00:00","33.09","0.52","55.70"
"01WHNJY_HY","2014-08-24 5:00:00","8.83","0.77","72.93"
"01WHWHY_JY","2014-08-24 5:00:00","13.81","0.73","68.17"
"01WHWWZ_TJ","2014-08-24 5:00:00","32.54","0.99","53.90"
