"区域名","区域编号","时间","指数"
"五官科医院","20XN_WGKYY0","2014-08-20 4:00:00","25.37"
"徐家汇","20XN_XJH00","2014-08-20 4:00:00","21.83"
"新天地","20XN_XTD000","2014-08-20 4:00:00","26.50"
"中山公园","20XN_ZSGY00","2014-08-20 4:00:00","31.60"
"大木桥","20XN_ZSYY00","2014-08-20 4:00:00","21.79"
"中远两湾城","20XN_ZYLWC0","2014-08-20 4:00:00","26.78"
"北新泾","20XW_BXJ000","2014-08-20 4:00:00","21.49"
"漕河泾","20XW_CHJ000","2014-08-20 4:00:00","25.96"
"共和新村","20XW_GHXC00","2014-08-20 4:00:00","31.51"
"江湾体育场","20XW_JWTYC0","2014-08-20 4:00:00","26.48"
"江湾镇","20XW_JWZC00","2014-08-20 4:00:00","28.89"
"龙柏","20XW_LB0000","2014-08-20 4:00:00","33.13"
"梅陇","20XW_ML0000","2014-08-20 4:00:00","47.01"
"祁连山路","20XW_QLSL00","2014-08-20 4:00:00","27.10"
"上海大学","20XW_SHDX00","2014-08-20 4:00:00","23.67"
"淞南","20XW_SN0000","2014-08-20 4:00:00","57.71"
"新江湾城","20XW_XJWC00","2014-08-20 4:00:00","37.52"
"殷行","20XW_YH0000","2014-08-20 4:00:00","26.73"
"张庙","20XW_ZM0000","2014-08-20 4:00:00","70.81"
"曹杨新村","20XZ_CY0000","2014-08-20 4:00:00","21.97"
"大场","20XZ_DC0000","2014-08-20 4:00:00","28.86"
"大宁","20XZ_DN0000","2014-08-20 4:00:00","25.92"
"古北","20XZ_GB0000","2014-08-20 4:00:00","27.41"
"华东理工","20XZ_HDLG00","2014-08-20 4:00:00","24.20"
"虹桥开发区","20XZ_HQKFQ0","2014-08-20 4:00:00","22.35"
"沪太","20XZ_HT0000","2014-08-20 4:00:00","25.00"
"龙华","20XZ_LH0000","2014-08-20 4:00:00","28.31"
"上海南站","20XZ_SHNZ00","2014-08-20 4:00:00","26.50"
"上海师大","20XZ_SHSD00","2014-08-20 4:00:00","26.41"
"上海西站","20XZ_SHXZ00","2014-08-20 4:00:00","25.64"
"田林","20XZ_TL0000","2014-08-20 4:00:00","37.08"
"五角场","20XZ_WJC000","2014-08-20 4:00:00","20.05"
"新华医院","20XZ_XHYY00","2014-08-20 4:00:00","36.99"
"延吉新村","20XZ_YJXC00","2014-08-20 4:00:00","42.12"
"杨树浦","20XZ_YSP000","2014-08-20 4:00:00","45.61"
"闸北公园","20XZ_ZBGY00","2014-08-20 4:00:00","29.45"
"花木","20DN_HM0000","2014-08-25 12:30:00","26.36"
"陆家嘴","20DN_LJZ000","2014-08-25 12:30:00","34.62"
"南码头","20DN_NMT000","2014-08-25 12:30:00","32.19"
"花木","20DN_HM0000","2014-08-25 13:00:00","25.31"
"陆家嘴","20DN_LJZ000","2014-08-25 13:00:00","32.56"
"南码头","20DN_NMT000","2014-08-25 13:00:00","33.43"
"源深体育中心","20DN_YSTYZX","2014-08-25 13:00:00","28.57"
"金桥","20DW_JQ0000","2014-08-25 13:00:00","23.22"
"金杨","20DW_JY0000","2014-08-25 13:00:00","26.55"
"外高桥","20DW_WGQ000","2014-08-25 13:00:00","26.52"
"北蔡","20DZ_BC0000","2014-08-25 13:00:00","26.49"
"上钢新村","20DZ_SGXC00","2014-08-25 13:00:00","26.58"
"三林","20DZ_SL0000","2014-08-25 13:00:00","26.07"
"张江","20DZ_ZJ0000","2014-08-25 13:00:00","20.68"
"周家渡","20DZ_ZJD000","2014-08-25 13:00:00","31.39"
"城隍庙","20XN_CHM000","2014-08-25 13:00:00","31.25"
"曹家渡","20XN_CJD000","2014-08-25 13:00:00","38.16"
"大柏树","20XN_DBS000","2014-08-25 13:00:00","31.48"
"第九人民医院","20XN_DJRMYY","2014-08-25 13:00:00","30.56"
"打浦桥","20XN_DPQ000","2014-08-25 13:00:00","35.68"
"虹口足球场","20XN_HKZQC0","2014-08-25 13:00:00","34.50"
"静安寺","20XN_JAS000","2014-08-25 13:00:00","46.51"
"老北站","20XN_LBZ000","2014-08-25 13:00:00","31.14"
"梅陇镇","20XN_MLZ000","2014-08-25 13:00:00","41.72"
"南京路商圈","20XN_NJLSQ0","2014-08-25 13:00:00","36.39"
"瑞虹新城","20XN_RHXC00","2014-08-25 13:00:00","29.98"
"瑞金医院","20XN_RJYY00","2014-08-25 13:00:00","46.61"
"人民广场","20XN_RMGC00","2014-08-25 13:00:00","38.87"
"四川北路商圈","20XN_SCBLSQ","2014-08-25 13:00:00","37.50"
"上海火车站","20XN_SHHCZ0","2014-08-25 13:00:00","32.07"
"上海卷烟厂","20XN_SHJYC0","2014-08-25 13:00:00","31.16"
"上海影城","20XN_SHYC00","2014-08-25 13:00:00","40.48"
"十六铺","20XN_SLP000","2014-08-25 13:00:00","25.32"
"同济大学","20XN_TJDX00","2014-08-25 13:00:00","31.11"
"提蓝桥","20XN_TLQ000","2014-08-25 13:00:00","33.35"
"五官科医院","20XN_WGKYY0","2014-08-25 13:00:00","43.24"
"徐家汇","20XN_XJH00","2014-08-25 13:00:00","40.82"
"新天地","20XN_XTD000","2014-08-25 13:00:00","41.17"
"中山公园","20XN_ZSGY00","2014-08-25 13:00:00","38.71"
"大木桥","20XN_ZSYY00","2014-08-25 13:00:00","38.91"
"中远两湾城","20XN_ZYLWC0","2014-08-25 13:00:00","37.56"
"北新泾","20XW_BXJ000","2014-08-25 13:00:00","31.40"
"漕河泾","20XW_CHJ000","2014-08-25 13:00:00","31.10"
"共和新村","20XW_GHXC00","2014-08-25 13:00:00","32.04"
"江湾体育场","20XW_JWTYC0","2014-08-25 13:00:00","20.52"
"江湾镇","20XW_JWZC00","2014-08-25 13:00:00","29.86"
"龙柏","20XW_LB0000","2014-08-25 13:00:00","38.59"
"瑞虹新城","20XN_RHXC00","2014-08-24","24.39"
"瑞金医院","20XN_RJYY00","2014-08-24","32.61"
"人民广场","20XN_RMGC00","2014-08-24","28.17"
"四川北路商圈","20XN_SCBLSQ","2014-08-24","21.72"
"上海火车站","20XN_SHHCZ0","2014-08-24","26.82"
"上海卷烟厂","20XN_SHJYC0","2014-08-24","30.12"
"上海影城","20XN_SHYC00","2014-08-24","28.90"
"十六铺","20XN_SLP000","2014-08-24","20.01"
"同济大学","20XN_TJDX00","2014-08-24","26.86"
"花木","20DN_HM0000","2014-08-16 0:10:00","23.91"
"陆家嘴","20DN_LJZ000","2014-08-16 0:10:00","23.67"
"南码头","20DN_NMT000","2014-08-16 0:10:00","24.37"
"源深体育中心","20DN_YSTYZX","2014-08-16 0:10:00","24.35"
"金桥","20DW_JQ0000","2014-08-16 0:10:00","24.09"
"金杨","20DW_JY0000","2014-08-16 0:10:00","26.45"
"外高桥","20DW_WGQ000","2014-08-16 0:10:00","26.63"
"北蔡","20DZ_BC0000","2014-08-16 0:10:00","18.50"
"上钢新村","20DZ_SGXC00","2014-08-16 0:10:00","24.82"
"三林","20DZ_SL0000","2014-08-16 0:10:00","25.51"
"张江","20DZ_ZJ0000","2014-08-16 0:10:00","13.81"
"周家渡","20DZ_ZJD000","2014-08-16 0:10:00","22.12"
"城隍庙","20XN_CHM000","2014-08-16 0:10:00","18.78"
"曹家渡","20XN_CJD000","2014-08-16 0:10:00","29.36"
"大柏树","20XN_DBS000","2014-08-16 0:10:00","27.03"
"第九人民医院","20XN_DJRMYY","2014-08-16 0:10:00","22.11"
"打浦桥","20XN_DPQ000","2014-08-16 0:10:00","19.36"
"虹口足球场","20XN_HKZQC0","2014-08-16 0:10:00","25.74"
"静安寺","20XN_JAS000","2014-08-16 0:10:00","30.54"
"老北站","20XN_LBZ000","2014-08-16 0:10:00","23.43"
"梅陇镇","20XN_MLZ000","2014-08-16 0:10:00","35.07"
"南京路商圈","20XN_NJLSQ0","2014-08-16 0:10:00","25.24"
"瑞虹新城","20XN_RHXC00","2014-08-16 0:10:00","26.01"
"瑞金医院","20XN_RJYY00","2014-08-16 0:10:00","31.82"
"人民广场","20XN_RMGC00","2014-08-16 0:10:00","28.78"
"四川北路商圈","20XN_SCBLSQ","2014-08-16 0:10:00","26.96"
"上海火车站","20XN_SHHCZ0","2014-08-16 0:10:00","24.72"
"上海卷烟厂","20XN_SHJYC0","2014-08-16 0:10:00","22.18"
"上海影城","20XN_SHYC00","2014-08-16 0:10:00","27.15"
"十六铺","20XN_SLP000","2014-08-16 0:10:00","20.09"
"花木","20DN_HM0000","2014-08-24 15:00:00","27.83"
"陆家嘴","20DN_LJZ000","2014-08-24 15:00:00","28.97"
"金桥","20DW_JQ0000","2014-08-25 0:30:00","27.69"
"金杨","20DW_JY0000","2014-08-25 0:30:00","26.74"
"外高桥","20DW_WGQ000","2014-08-25 0:30:00","27.50"
"北蔡","20DZ_BC0000","2014-08-25 0:30:00","20.34"
"上钢新村","20DZ_SGXC00","2014-08-25 0:30:00","25.60"
"三林","20DZ_SL0000","2014-08-25 0:30:00","26.70"
"张江","20DZ_ZJ0000","2014-08-25 0:30:00","11.85"
"周家渡","20DZ_ZJD000","2014-08-25 0:30:00","26.10"
"城隍庙","20XN_CHM000","2014-08-25 0:30:00","15.90"
"曹家渡","20XN_CJD000","2014-08-25 0:30:00","24.72"
"大柏树","20XN_DBS000","2014-08-25 0:30:00","25.68"
"第九人民医院","20XN_DJRMYY","2014-08-25 0:30:00","20.87"
"打浦桥","20XN_DPQ000","2014-08-25 0:30:00","22.46"
"虹口足球场","20XN_HKZQC0","2014-08-25 0:30:00","23.26"
"静安寺","20XN_JAS000","2014-08-25 0:30:00","27.96"
"老北站","20XN_LBZ000","2014-08-25 0:30:00","19.56"
"梅陇镇","20XN_MLZ000","2014-08-25 0:30:00","27.52"
"南京路商圈","20XN_NJLSQ0","2014-08-25 0:30:00","19.49"
"瑞虹新城","20XN_RHXC00","2014-08-25 0:30:00","24.42"
"瑞金医院","20XN_RJYY00","2014-08-25 0:30:00","28.56"
"人民广场","20XN_RMGC00","2014-08-25 0:30:00","24.10"
"四川北路商圈","20XN_SCBLSQ","2014-08-25 0:30:00","24.09"
"上海火车站","20XN_SHHCZ0","2014-08-25 0:30:00","20.46"
"上海卷烟厂","20XN_SHJYC0","2014-08-25 0:30:00","23.39"
"上海影城","20XN_SHYC00","2014-08-25 0:30:00","25.34"
"十六铺","20XN_SLP000","2014-08-25 0:30:00","20.71"
"同济大学","20XN_TJDX00","2014-08-25 0:30:00","22.98"
"提蓝桥","20XN_TLQ000","2014-08-25 0:30:00","20.25"
"五官科医院","20XN_WGKYY0","2014-08-25 0:30:00","26.21"
"徐家汇","20XN_XJH00","2014-08-25 0:30:00","18.49"
"新天地","20XN_XTD000","2014-08-25 0:30:00","25.32"
"中山公园","20XN_ZSGY00","2014-08-25 0:30:00","25.66"
"大木桥","20XN_ZSYY00","2014-08-25 0:30:00","23.68"
"中远两湾城","20XN_ZYLWC0","2014-08-25 0:30:00","23.75"
"北新泾","20XW_BXJ000","2014-08-25 0:30:00","17.35"
"漕河泾","20XW_CHJ000","2014-08-25 0:30:00","21.43"
"共和新村","20XW_GHXC00","2014-08-25 0:30:00","28.58"
"江湾体育场","20XW_JWTYC0","2014-08-25 0:30:00","21.72"
"江湾镇","20XW_JWZC00","2014-08-25 0:30:00","25.13"
"龙柏","20XW_LB0000","2014-08-25 0:30:00","24.52"
"梅陇","20XW_ML0000","2014-08-25 0:30:00","30.74"
"祁连山路","20XW_QLSL00","2014-08-25 0:30:00","20.26"
"上海大学","20XW_SHDX00","2014-08-25 0:30:00","18.29"
"淞南","20XW_SN0000","2014-08-25 0:30:00","44.59"
"新江湾城","20XW_XJWC00","2014-08-25 0:30:00","16.93"
"殷行","20XW_YH0000","2014-08-25 0:30:00","21.16"
"张庙","20XW_ZM0000","2014-08-25 0:30:00","44.31"
"曹杨新村","20XZ_CY0000","2014-08-25 0:30:00","21.11"
"大场","20XZ_DC0000","2014-08-25 0:30:00","23.74"
"大宁","20XZ_DN0000","2014-08-25 0:30:00","21.95"
"古北","20XZ_GB0000","2014-08-25 0:30:00","23.39"
"华东理工","20XZ_HDLG00","2014-08-25 0:30:00","24.33"
"虹桥开发区","20XZ_HQKFQ0","2014-08-25 0:30:00","18.43"
"沪太","20XZ_HT0000","2014-08-25 0:30:00","21.69"
"龙华","20XZ_LH0000","2014-08-25 0:30:00","21.93"
"上海南站","20XZ_SHNZ00","2014-08-25 0:30:00","20.14"
"上海师大","20XZ_SHSD00","2014-08-25 0:30:00","24.03"
"上海西站","20XZ_SHXZ00","2014-08-25 0:30:00","21.49"
"田林","20XZ_TL0000","2014-08-25 0:30:00","26.01"
"五角场","20XZ_WJC000","2014-08-25 0:30:00","24.26"
"新华医院","20XZ_XHYY00","2014-08-25 0:30:00","25.17"
"延吉新村","20XZ_YJXC00","2014-08-25 0:30:00","28.05"
"杨树浦","20XZ_YSP000","2014-08-25 0:30:00","35.53"
"闸北公园","20XZ_ZBGY00","2014-08-25 0:30:00","29.64"
"total","total","2014-08-25 0:30:00","24.08"
"提蓝桥","20XN_TLQ000","2014-08-24","21.61"
